t,H=0.1,H=0.2,H=0.3,H=0.4,H=0.6,H=0.7,H=0.8,H=0.9
2.199999999999999872e-02,8.365682089358575935e-01,-1.686739149660382853e-01,-1.878115824819521218e-01,-3.523964698739639467e-01,-5.385046561889825223e-02,7.860244162864418738e-02,-1.360197947900021638e-02,2.675124462534936992e-02
2.299999999999999961e-02,1.411420171691656567e+00,-1.830991374700293994e-01,-3.772256928939887177e-01,-2.456299812082188005e-01,-1.026805377449536150e-01,7.562698169009730853e-02,-2.085101569466404903e-02,2.829681369936732846e-02
2.400000000000000050e-02,7.331633937699075787e-01,-6.625238303121158134e-01,-2.695619335045217890e-01,-2.591481499511951725e-01,-1.049520472130729826e-01,7.046200834957436210e-02,-1.733630785871195096e-02,2.839494975208514682e-02
2.500000000000000139e-02,6.306243513699955061e-01,-7.182879574231451070e-01,-5.924053060359921741e-01,-3.242487837278457685e-01,-1.246639902867899274e-01,7.834506399280982691e-02,-1.457276047731493815e-02,3.088036682870241856e-02
2.600000000000000228e-02,1.604626255066982310e+00,-2.581763823534536928e-01,-4.047291688132828580e-01,-3.062504760292103501e-01,-1.121971057375221043e-01,7.659823625923753432e-02,-1.469069240033399858e-02,3.257295734495756212e-02
2.699999999999999969e-02,1.462370158688546251e+00,-7.569451488692706675e-01,-3.568267843867162226e-01,-3.975819825236647787e-01,-1.220178860042282765e-01,8.648298464041788425e-02,-1.211243320599125414e-02,3.703565288488284979e-02
2.800000000000000058e-02,1.199321398487833257e+00,-5.097763941052267933e-01,-1.459949497859743817e-01,-3.524511305974720732e-01,-1.264166164876093512e-01,8.898254870025118501e-02,-9.423093724588629122e-03,3.900370688121397589e-02
2.900000000000000147e-02,1.749102634641842346e+00,-8.229486829732182152e-01,-1.520395322627800527e-01,-4.464225609730831934e-01,-1.060406907397979381e-01,9.048893425965078008e-02,-9.677012610967610298e-03,3.784236123846852068e-02
2.999999999999999889e-02,1.308936574453624102e+00,-9.510644869250867162e-01,-2.928218201682084576e-01,-4.192897522038394054e-01,-6.845555913381326518e-02,9.699988558078075085e-02,-9.146045743778906736e-03,3.768237948520391373e-02
3.099999999999999978e-02,1.493725785070346479e+00,-8.882313153739408440e-01,-2.480358904750043503e-01,-4.130034095888051038e-01,-5.865823280028319153e-02,9.457413058155003660e-02,-1.147906162206397372e-02,3.773317991197830401e-02
3.200000000000000067e-02,6.916923010932478633e-01,-9.490210197785494683e-01,-1.785814287231334285e-01,-3.466905428354106755e-01,-5.617010376898522173e-02,1.027249170591400113e-01,-1.270568264484776833e-02,3.805298749645718431e-02
3.300000000000000155e-02,1.714122170108439258e+00,-8.570473576442576569e-01,-2.635423508510110202e-01,-3.516339296560002659e-01,-3.997039082775093177e-02,1.033744321173064584e-01,-1.262944064488685444e-02,3.892614355448876379e-02
3.400000000000000244e-02,1.194602200627034705e+00,-9.505805547558597857e-01,-8.367732457177831651e-02,-2.809332971576797844e-01,-5.926156845522524697e-02,1.035713326207615970e-01,-1.598614127277648428e-02,4.057905533455096608e-02
3.500000000000000333e-02,8.719381151661342866e-01,-7.980388727545084659e-01,-9.165557631172538411e-02,-3.073128116688836342e-01,-4.534403059084946008e-02,1.061893594946612812e-01,-1.876746677939048966e-02,4.137435293044695872e-02
3.600000000000000422e-02,9.077239913262089566e-01,-6.020410092304753213e-01,1.389679863136154825e-02,-3.743976428778137411e-01,-4.109392225954869998e-02,9.050113810367653444e-02,-1.423618466670617880e-02,3.969173004331474214e-02
3.699999999999999817e-02,4.015832103531953301e-01,-4.684640876449440716e-01,-1.096408718317694458e-01,-3.153337562006402472e-01,-5.042293481945962774e-02,7.851179047207973438e-02,-1.710065066211921211e-02,3.923807815107132474e-02
3.799999999999999906e-02,3.884571494395181457e-01,-6.053885090932977775e-01,-2.668467596317349033e-02,-3.353439136067714044e-01,-5.583169710315203510e-02,8.666458501577001261e-02,-2.126739964514023223e-02,4.007330177628414675e-02
3.899999999999999994e-02,1.139097531793175966e+00,-6.159984288721942480e-02,-9.894323955996192632e-02,-3.497524819089817827e-01,-5.229147060396081848e-02,8.709024078945501457e-02,-1.746184030385456928e-02,3.992241595410817717e-02
4.000000000000000083e-02,6.170832306151400326e-01,-1.520068694818360600e-01,-1.496114591482923251e-01,-3.141740268529775726e-01,-5.407100483253257650e-02,7.568075523769927926e-02,-1.978206460933600724e-02,3.919509311839372567e-02
4.100000000000000172e-02,1.015628090191432076e+00,-3.822572566488451340e-01,1.350863813238550870e-01,-3.685762935593752121e-01,-4.871825292286083298e-02,5.191082269069379612e-02,-2.109496926351236631e-02,3.842706820258501299e-02
4.200000000000000261e-02,1.473526497790831558e+00,-5.653716402172644928e-01,6.050281968837258051e-02,-2.192811750395963211e-01,-3.095100685268171656e-02,3.878032091856081776e-02,-1.819915882674023877e-02,3.937156247781082447e-02
4.300000000000000350e-02,7.911893056881821318e-01,-2.799406978259723622e-01,-2.024993437936357110e-01,-1.374922675646854386e-01,-3.320794731039322656e-02,3.364148786253775419e-02,-2.178938482589131559e-02,4.071141887119954228e-02
4.399999999999999745e-02,1.004782493972523616e+00,-4.626665593507361951e-01,-5.053437810504706196e-01,-1.391727575660965666e-01,-3.545726673109229898e-02,2.874763300917437120e-02,-2.376453952760325394e-02,4.442956941355642730e-02
4.499999999999999833e-02,1.606732634391439873e+00,-1.607197405626261677e-01,-7.344852298230741816e-01,-1.902719145991495220e-01,-3.271388439118766422e-02,2.645884343373496039e-02,-2.086288844106441720e-02,4.659958778239108035e-02
4.599999999999999922e-02,8.716306592869327297e-01,-3.771768517118675446e-01,-7.644739599036574074e-01,-1.117082203353598480e-01,-2.167346898171349304e-02,3.250253086372659889e-02,-1.934846112323706721e-02,4.732482528942675432e-02
4.700000000000000011e-02,1.701782616830865846e+00,-6.058245946113260949e-02,-9.527307525899487706e-01,-9.768241893828313871e-02,-2.846502417311377181e-02,3.804367875599307114e-02,-1.781660062342862658e-02,4.733974255060677261e-02
4.800000000000000100e-02,1.362591168361879879e+00,-1.442262645100197416e-01,-6.416110940670780582e-01,-4.485975709318838767e-02,-3.713748480726322687e-02,3.042685526496706483e-02,-1.738996769197202058e-02,4.852366368417634218e-02
4.900000000000000189e-02,5.704824963069787813e-02,-2.067703980402761654e-02,-6.786415701465419170e-01,-4.717251499717019930e-02,-7.568178152911009260e-02,2.850083843640817405e-02,-1.813371525517578839e-02,4.960750781524714270e-02
5.000000000000000278e-02,4.336227515060285809e-01,-1.854436020800704354e-01,-4.181969839148922397e-01,-9.232929538134987402e-02,-8.038392478979709821e-02,2.550107168222088064e-02,-1.816667260169337397e-02,4.940802112565874371e-02
5.100000000000000366e-02,6.645789091405525095e-01,3.217558029269318443e-02,-6.374871723691658554e-01,-1.174633607035665273e-01,-8.214459576516904005e-02,2.904965932722913466e-02,-1.559550870977746174e-02,5.117450687842752671e-02
5.200000000000000455e-02,5.552504565148368432e-01,-1.167337421354160132e-01,-4.747916303296459417e-01,-7.111894810352034635e-02,-1.080149086339190490e-01,2.294817636474267772e-02,-5.953749159850207223e-03,5.134126947521307910e-02
5.299999999999999850e-02,8.481439274716870980e-01,7.239863035469834562e-03,-6.929148657458190641e-01,-8.343472508325923409e-02,-1.090051569937488668e-01,2.270033442959390121e-02,-4.227462663740430213e-03,5.318091973057731403e-02
5.399999999999999939e-02,1.453803420079757380e+00,-3.678070738330382339e-01,-6.176611416478031691e-01,-1.012451012891558422e-01,-1.343686970610272757e-01,2.744841053920696328e-02,-1.505880667658506412e-03,5.449297412510103328e-02
5.500000000000000028e-02,9.469227192111837610e-01,-1.025729082384383428e+00,-7.003574539294240564e-01,-1.033074131651701699e-01,-1.434545046581332806e-01,2.698849368922249733e-02,4.256661867937000174e-03,5.579922554319884098e-02
5.600000000000000117e-02,5.023285288922101355e-01,-7.800592955074825419e-01,-6.369664696344432553e-01,1.617772762120942009e-02,-1.188677661729459628e-01,2.610076425870359179e-02,8.395791735368604222e-03,5.775854756324731026e-02
5.700000000000000205e-02,1.590515361731853261e+00,-6.242330879879609551e-01,-5.341053227770866663e-01,-1.152010476262598782e-01,-1.276169382175107725e-01,2.164168222147405674e-02,1.284443106268021509e-02,5.849013195009823002e-02
5.800000000000000294e-02,9.863952227123427008e-01,-9.629088059211199369e-01,-2.748293868838923015e-01,-2.121286564049513490e-01,-1.430369233680730268e-01,1.993191336955529858e-02,1.443140438159227178e-02,5.715763122878025210e-02
5.900000000000000383e-02,1.080321368232115553e+00,-7.203377131029399250e-01,-3.205662754604327591e-01,-1.614168144941528771e-01,-1.479719079274839089e-01,1.177985827752526908e-02,1.623194501068717099e-02,5.655696927411840713e-02
5.999999999999999778e-02,6.449947184566775515e-01,-6.872948461893693128e-01,-4.411803939682895082e-01,-1.190306208331211313e-01,-1.436994588414533258e-01,5.503773879197574985e-03,1.713699330127576789e-02,5.597759650239074458e-02
6.099999999999999867e-02,9.332894592098630593e-01,-5.772433393568131565e-01,-3.783818167762867946e-01,-1.226846884445223634e-01,-1.534052449301506749e-01,5.374476058218134733e-03,1.604491111943508186e-02,5.556707708224510600e-02
6.199999999999999956e-02,7.650921157127446026e-01,-4.618105150529779879e-01,-3.202643966159802735e-01,-8.950020067170244564e-02,-1.560010679628781316e-01,-8.909025779777141399e-04,1.585582591256709875e-02,5.482003392094068894e-02
6.300000000000000044e-02,7.697010120884847373e-01,-5.920547360459988973e-01,-3.087283032967313434e-01,5.459678445025265003e-02,-1.574523822004379181e-01,1.160012155589445690e-02,1.918561051601853223e-02,5.626798307260427040e-02
6.400000000000000133e-02,1.120656123829312012e+00,-7.592554598894448725e-01,-3.232957156611501737e-01,-4.154713241234106458e-03,-1.367091195591754182e-01,3.551701684340704754e-03,2.127266338694226711e-02,5.730525336456415014e-02
6.500000000000000222e-02,1.124417515793277200e+00,-4.447778656236981987e-01,-1.005315080486462731e-01,-2.368064460539463442e-02,-1.575650414053779980e-01,4.345630983151312597e-03,1.558662323883048748e-02,5.960211781816432408e-02
6.600000000000000311e-02,1.690678889904459581e+00,-1.573409124738061049e-01,-2.057419405907838228e-01,-4.375322379238967552e-02,-1.676292249813901847e-01,3.221827380741887695e-03,1.041668730966377639e-02,5.992633562135481207e-02
6.700000000000000400e-02,1.368265342258951245e+00,-3.311141853701096149e-01,-2.003979111303853256e-01,2.780515354858133226e-03,-1.668855220135749551e-01,4.510823452455980410e-03,7.248803165148410416e-03,6.051493963435986695e-02
6.800000000000000488e-02,1.839650179704838351e+00,-2.141501188782840293e-01,-2.784197761169053820e-01,4.020279218161824236e-02,-1.846225146040179066e-01,4.989139427466725285e-04,1.031331304355851027e-02,6.191753335641313888e-02
6.900000000000000577e-02,1.560588478996633777e+00,-2.679678740228242928e-01,-2.731237640589544435e-01,-2.685975763697557445e-02,-1.827065421037772919e-01,4.912716003381086341e-03,1.065401033102593258e-02,6.167439300516409928e-02
7.000000000000000666e-02,1.506112376730952107e+00,-5.419646416190163629e-01,-7.465707246411384945e-02,-2.480674084756536585e-02,-1.640708359202650291e-01,3.033043844489901209e-03,1.352650930469517787e-02,6.232984456583728211e-02
7.100000000000000755e-02,1.077146416477499091e+00,-5.614002466799730140e-01,-1.582368013226091996e-01,-4.890957569216373285e-03,-1.403440631004273242e-01,6.428146487144902575e-03,1.367127144404432261e-02,6.259331023880571054e-02
7.200000000000000844e-02,1.323481603735943146e+00,-5.900329141796090138e-01,-2.596008650716168931e-01,-5.758305616898358459e-02,-1.170803903608767793e-01,-1.882745912641742465e-03,1.680113720114378983e-02,6.512231453431177597e-02
7.299999999999999545e-02,1.368638294137271227e+00,-6.659056333328514654e-01,-2.238180846210416908e-01,-3.822999505259322417e-02,-1.317583947672834044e-01,-5.360608743501706595e-03,2.151675259655009761e-02,6.782672515685475578e-02
7.399999999999999634e-02,1.011884001577378234e+00,-3.483661622528780866e-01,-3.847491296303051089e-01,-4.793308382523489564e-02,-1.122854469359073487e-01,-1.653712385816800620e-02,2.236517663407932774e-02,7.009162300802695977e-02
7.499999999999999722e-02,1.689129136332482517e+00,-5.487971435262297693e-01,-3.480490025224457495e-01,4.530450904756934405e-03,-1.217910693662449945e-01,-2.902547876143742739e-02,2.763732977707378247e-02,6.875922757171626376e-02
7.599999999999999811e-02,1.635413721225516204e+00,-5.321351489012936531e-01,-3.791507316192203048e-01,-1.365369491418922665e-01,-1.504024954734179964e-01,-3.226265035114388863e-02,3.239826180812662576e-02,6.979574894143508734e-02
7.699999999999999900e-02,1.739390918712206746e+00,-4.472148683567823690e-01,-2.207101376530496706e-01,-2.292655713081580005e-01,-1.450943624121980025e-01,-4.299960409545397488e-02,3.517193892482103207e-02,6.997737641702221623e-02
7.799999999999999989e-02,3.898669336491873416e-01,-7.222569207939164571e-01,-3.037226926417854744e-01,-3.012882606815158737e-01,-1.568088934375938825e-01,-4.508126780239049558e-02,3.571190008613911449e-02,7.353672911279263147e-02
7.900000000000000078e-02,1.851793974285717903e+00,-9.529757551808540894e-01,-2.932132593450395563e-01,-2.653039160336901903e-01,-1.527571690785727021e-01,-3.546659513358207949e-02,3.241495467390743263e-02,7.621361326762632338e-02
8.000000000000000167e-02,1.550667226826204281e+00,-4.467527565820381685e-01,-3.197927940663587987e-01,-2.457580136710929564e-01,-1.538547704426690699e-01,-2.903487982263274966e-02,2.994439079993865827e-02,7.843478400785082461e-02
8.100000000000000255e-02,1.231188832388664611e+00,-3.636560113749293111e-01,-5.092409817627790991e-01,-2.898507842267688539e-01,-1.645968941534868557e-01,-2.890935907974152841e-02,2.892230118798969768e-02,8.120641302682445051e-02
8.200000000000000344e-02,1.167555599616485029e+00,-7.096973645578978918e-01,-4.242138119303470734e-01,-3.265687047796562159e-01,-1.801415278151884403e-01,-3.210166700637578918e-02,2.532829282059881337e-02,8.358167235922439597e-02
8.300000000000000433e-02,1.740683712810773720e+00,-4.690819232861037080e-01,-4.481716598432351484e-01,-2.388348091940427076e-01,-1.867050688095310829e-01,-2.433361836691097513e-02,2.309591009466825315e-02,8.538088052701441055e-02
8.400000000000000522e-02,1.743609685790856512e+00,-4.127978256304387639e-01,-4.470274515083100808e-01,-1.787014753211776663e-01,-1.958828732364790437e-01,-1.741087203134319625e-02,1.855341536331190505e-02,8.662180503422754752e-02
8.500000000000000611e-02,2.169761071730499147e+00,-1.318871487733596082e-01,-5.235100799605694188e-01,-1.199488691476039148e-01,-2.342891793634736819e-01,-1.908023382604999429e-02,1.682199215430289427e-02,9.225917263027029469e-02
8.600000000000000699e-02,1.471779606373197380e+00,-2.003343653874974650e-01,-4.431039037349535636e-01,-1.584950355760665619e-01,-2.508609426510897134e-01,-1.681571206137619581e-02,1.751564070374627899e-02,9.538163266456635425e-02
8.700000000000000788e-02,1.627665538889593977e+00,-8.956908829485271673e-03,-4.838334506277112146e-01,-1.662640722938245053e-01,-2.520336979727993421e-01,-2.474736998048527106e-02,2.273354261583311955e-02,9.849310243835307510e-02
8.799999999999999489e-02,1.228565674524112916e+00,-3.414639443041597167e-01,-6.254470188449577917e-01,-6.679816965626456104e-02,-2.492214228461023806e-01,-3.386355666164501260e-02,2.321168880147259431e-02,9.921434709861608192e-02
8.899999999999999578e-02,1.117482836307468252e+00,-2.002672693060506826e-01,-7.578342594510311114e-01,-9.416302012296713653e-02,-2.254727584065373269e-01,-2.888575875387967840e-02,1.886619331317897219e-02,1.005415920100365401e-01
8.999999999999999667e-02,1.230855897454707693e+00,4.591724620447656946e-02,-7.231881487656740548e-01,4.678939661676180528e-02,-2.120101576888404893e-01,-4.324349029584811238e-02,1.744433817558455058e-02,1.020601168292190747e-01
9.099999999999999756e-02,7.791141676223680701e-01,1.576653750915744667e-01,-5.444349273752722151e-01,3.289121255010105799e-02,-2.154581414201785228e-01,-4.858052099645662064e-02,1.469251537393949716e-02,1.047885353845409151e-01
9.199999999999999845e-02,1.271869162210254922e+00,-9.363583237857658892e-02,-3.990997354635893446e-01,-5.708143005818485521e-02,-2.221937344722747232e-01,-4.539917286940976793e-02,7.626145392076691398e-03,1.073148039710234147e-01
9.299999999999999933e-02,1.074366817692761655e+00,1.178657398055407701e-03,-2.250176469742011520e-01,-2.866184739186079106e-02,-2.325062323083630089e-01,-4.639590638318753096e-02,-9.559867402704202988e-04,1.072035100932062085e-01
9.400000000000000022e-02,2.065951002305650430e+00,5.086502861456363572e-02,-4.620822970379455108e-01,-2.783666803215715732e-02,-2.205300737266222555e-01,-4.171916348662750573e-02,-8.974426250485974602e-03,1.084734402582968188e-01
9.500000000000000111e-02,6.593437881291601688e-01,8.918480937334383185e-02,-3.715398680617399418e-01,-8.337361110049092833e-03,-2.158775619996487483e-01,-2.990841983298851703e-02,-1.832623841595368286e-02,1.101564328886710242e-01
9.600000000000000200e-02,1.125846654594627516e+00,-6.143653862155484813e-03,-4.177023123209241962e-01,-2.892595130572356982e-02,-2.290926628121009723e-01,-2.242235859451087443e-02,-2.149678132811985373e-02,1.108021947869470281e-01
9.700000000000000289e-02,1.657793356823246800e+00,1.730426167534352688e-01,-4.962633419100623278e-01,-3.281660378924384364e-02,-2.501227092665702090e-01,-1.852725579854273830e-02,-2.705803183118554722e-02,1.093241456763310443e-01
9.800000000000000377e-02,1.845988567568115801e+00,2.234607814144069227e-01,-6.726845725788207497e-01,-1.086067436692233767e-01,-2.476795413344480834e-01,-8.410706687730766865e-03,-3.381177233459112946e-02,1.081268293798501035e-01
9.900000000000000466e-02,1.974722188088942287e+00,6.568535424100990783e-02,-7.341230297097237623e-01,-1.120516001845108106e-01,-2.591270519949304130e-01,-5.453105059421937614e-03,-3.709186566315193084e-02,1.076241971855975976e-01
1.000000000000000056e-01,1.384851747368163855e+00,3.225788628831137705e-01,-6.653532371437869131e-01,-7.785746218285108378e-02,-2.454583022468513898e-01,-4.423827191401960221e-04,-3.481867986089615813e-02,1.069511146916929251e-01
1.010000000000000064e-01,9.108946278488214698e-01,8.900891595605436857e-02,-5.231550808941058950e-01,1.049530512571292262e-02,-2.386117878540148785e-01,5.558588545211991597e-03,-3.240920944607868920e-02,1.070509153214738579e-01
1.020000000000000073e-01,3.795761557272394615e-01,1.369145113365898558e-01,-3.723573675575924669e-01,-2.290186471017118669e-02,-2.500797496627211181e-01,6.778138928111712876e-03,-2.658538405649534669e-02,1.071296168104278329e-01
1.030000000000000082e-01,6.780222779412364842e-02,3.728617472314877945e-01,-5.129615217113581149e-01,2.184203996230144745e-02,-2.040716426337992051e-01,7.314236650896264839e-03,-2.004014618200304632e-02,1.081038887882297406e-01
1.040000000000000091e-01,6.174299877097879641e-01,3.405443182409499947e-01,-7.658295125567183836e-01,-2.396536213463157372e-02,-1.688297230280254579e-01,-7.828869492350766512e-03,-1.229787321363497860e-02,1.103834830024821856e-01
1.049999999999999961e-01,6.865934102690598451e-01,5.153289870986330623e-01,-6.621940978743501294e-01,1.019841802177336165e-01,-1.608110239060858149e-01,-1.460512406387690434e-02,-8.862312042374764082e-03,1.126790730170962318e-01
1.059999999999999970e-01,5.592452852083580339e-01,4.837294126946176109e-01,-5.804097146446184352e-01,9.734810650955361133e-02,-1.281448300140634877e-01,-9.709155821188981961e-03,-4.308614192424457118e-04,1.162316119719709329e-01
1.069999999999999979e-01,6.576776801629571345e-01,3.485187979197905683e-01,-5.427591331899075389e-01,1.140164403520697450e-01,-1.193961541965781331e-01,-1.513668221799142552e-02,7.172847606951747966e-03,1.174354126980848706e-01
1.079999999999999988e-01,1.327863681151291164e-01,-2.860874952121938986e-02,-5.701915155586800843e-01,9.968077283154508361e-02,-1.271748462594818885e-01,-2.431722459794952163e-02,1.244096623282188799e-02,1.194218392717522476e-01
1.089999999999999997e-01,-1.316312994577052420e-01,2.782103276590865426e-01,-7.031788248876631453e-01,1.755297162869227101e-01,-1.377371179181056948e-01,-1.942652918578868793e-02,4.945615793337479471e-03,1.201123887675301094e-01
1.100000000000000006e-01,7.898595833129347099e-01,5.390389867590307249e-01,-7.522809949179256606e-01,1.698407513510339362e-01,-1.257572229683117104e-01,-7.588367478617970285e-03,8.385335927725428434e-03,1.235681753677875527e-01
1.110000000000000014e-01,1.057788936202695984e+00,-6.786908122892887363e-02,-9.379818033379598852e-01,2.815404550545224649e-01,-1.245284159992931239e-01,-1.266646356367550838e-02,1.128245839285332494e-02,1.263371538471100008e-01
1.120000000000000023e-01,8.039830019524650817e-01,1.185942929192679574e-01,-9.232201089240767988e-01,2.531486887360180349e-01,-1.260326693395788233e-01,-5.089162648534014191e-03,1.610008296438315833e-02,1.299968797965554423e-01
1.130000000000000032e-01,9.968523731456677694e-01,-5.430365881554644059e-02,-8.710333752310136513e-01,2.369366368439347892e-01,-1.191134801363439438e-01,-1.180871253096015157e-02,1.760325293422633150e-02,1.328566521396581657e-01
1.140000000000000041e-01,8.821474320708362349e-01,1.215001722622595093e-01,-7.719614491937499823e-01,1.491546108662736292e-01,-1.128019490643184936e-01,-1.713091779402859186e-02,1.859532171186028746e-02,1.339335713838020747e-01
1.150000000000000050e-01,1.496937701978757307e+00,-2.532318728382504380e-01,-6.653346769882054756e-01,1.627920893866672825e-01,-1.062543582307324264e-01,-1.846406797068617447e-02,2.274595998369288372e-02,1.348195132268717733e-01
1.160000000000000059e-01,1.334421508839125581e+00,-1.884396187530970601e-01,-7.466440562940688253e-01,2.321134709170864507e-01,-5.973168987521803447e-02,-1.845566584197572829e-02,2.323441199082039096e-02,1.363756819162010581e-01
1.170000000000000068e-01,1.918620574555609970e+00,-4.589794648739251026e-01,-6.753166113495638889e-01,2.041056503194911553e-01,-5.981950301873126263e-02,-2.377774066446716045e-02,2.166648554960653311e-02,1.370452572457031282e-01
1.180000000000000077e-01,1.415376141931489418e+00,-2.358882659738159304e-01,-8.094066044159711204e-01,1.718290324499290311e-01,-3.731872425948296046e-02,-2.509363844857259024e-02,2.048779909484982342e-02,1.368457211436787113e-01
1.190000000000000085e-01,1.451350910311481002e+00,-7.961222728612235566e-02,-8.436192637446302545e-01,9.931360776871736573e-02,-5.581069812268998898e-02,-2.013717953593581120e-02,1.416306888818278688e-02,1.378765028884439414e-01
1.199999999999999956e-01,5.109443431806066638e-01,-4.061288480984129867e-01,-8.803646818940256136e-01,9.633275112511040239e-02,-2.240498983514077613e-02,-2.751048074940644350e-02,1.242652529964985431e-02,1.379206666089674016e-01
1.209999999999999964e-01,1.170797506819479139e+00,-5.705831102609316696e-01,-9.803604312908216212e-01,1.221913227274389474e-01,-2.590884038201976547e-02,-3.512159654443065826e-02,1.544653390476404334e-02,1.386527654458193093e-01
1.219999999999999973e-01,1.275529220348509796e+00,-1.471193874881723263e-01,-8.355445744548090081e-01,1.613867983736141931e-01,-3.548523577113701921e-02,-3.237024040327152880e-02,1.670401357225638830e-02,1.405659822746585241e-01
